import time: self [us] | cumulative | imported package
import time:       598 |        598 |     pyomo.dae.integral
import time:      1157 |       1157 |     pyomo.dae.simulator
import time:       650 |        650 |       pyomo.dae.misc
import time:       799 |       1449 |     pyomo.dae.plugins.colloc
import time:       606 |        606 |     pyomo.dae.plugins.finitedifference
import time:      2743 |       2743 |     pyomo.scripting.plugins.check
import time:       552 |        552 |       pyomo.scripting.solve_config
import time:      1391 |       1942 |     pyomo.scripting.plugins.convert
import time:      1245 |       1245 |     pyomo.scripting.plugins.solve
import time:      1328 |       1328 |     pyomo.scripting.plugins.download
import time:       502 |        502 |       pyomo.common.extensions
import time:      1200 |       1702 |     pyomo.scripting.plugins.build_ext
import time:      2247 |       2247 |     pyomo.scripting.plugins.extras
import time:       785 |        785 |     pyomo.network.plugins.expand_arcs
import time:       571 |        571 |       pyomo.common.cmake_builder
import time:       550 |       1120 |     pyomo.contrib.ampl_function_demo.build
import time:       637 |        637 |           pyomo.contrib.appsi.utils.get_objective
import time:       592 |        592 |           pyomo.contrib.appsi.utils.collect_vars_and_named_exprs
import time:       676 |       1904 |         pyomo.contrib.appsi.utils
import time:        29 |       1932 |       pyomo.contrib.appsi.utils.get_objective
import time:       625 |        625 |       pyomo.contrib.appsi.cmodel
import time:      1972 |       4528 |     pyomo.contrib.appsi.base
import time:      1295 |       1295 |       pyomo.contrib.appsi.solvers.gurobi
